solresol,pt
1,"não, nem"
2,"e"
3,"ou"
4,"a, para"
5,"se, caso"
6,"o, a, os, as"
7,"sim"
12,"eu, me, nós, nos, pessoalmente"
13,"você, te, vocês, vos"
14,"ele, ela, isto"
15,"si mesmo"
16,"alguém, o próximo, outro"
17,"outro"
21,"meu, minha"
23,"teu, tua, seu, sua"
24,"dele, dela"
25,"nosso, nossa"
26,"vosso, vossa"
27,"deles, delas"
31,"para, quanto a"
32,"que, quem, qual"
34,"cujo(a)"
35,"bem"
36,"eis, ó, veja só"
37,"boa noite"
41,"o que?"
42,"aquilo, aquele(a)"
43,"isto, este(a)"
45,"eis, ó, veja só"
46,"bom, agradável, saboroso"
47,"muito (aumentativo)"
51,"nada"
52,"por que?"
53,"mal"
54,"porque, pois, já que"
56,"perpetuar, sempre, para sempre"
57,"agradecer, obrigado"
61,"ontem"
62,"hoje"
63,"amanhã"
64,"mau, ruim, desagradável"
65,"nunca, jamais"
67,"de, sobre, com"
71,"como?"
72,"cada, todo(s), tudo"
73,"bom dia, boa tarde, oi"
74,"pouco (diminutivo)"
75,"sr., senhor"
76,"sra., senhora, dama"
121,"tempo, duração"
123,"dia"
124,"semana"
125,"mês"
126,"ano"
127,"século"
131,"universo, a criação"
132,"imensidão, vastidão, infinito"
134,"providência"
135,"Deus, divino"
136,"eternizar, prolongar"
137,"imortalizar"
141,"majestade"
142,"supremo, soberano"
143,"esplendor, magnificência"
145,"maravilha"
146,"prodígio, milagre"
147,"adorar"
151,"pedir, solicitar, orar, rezar, suplicar, invocar"
152,"crer, acreditar"
153,"Jesus Cristo"
154,"Santa Virgem, virginal"
156,"religião, devoção"
157,"santificar, santo"
161,"caridade"
162,"filantropia"
163,"desprezar, ridicularizar"
164,"compadecer-se, pena, compaixão"
165,"imperdoável, indesculpável"
167,"incomparável, sem igual"
171,"ajudar, socorrer, auxiliar"
172,"apoiar, suportar, manter, sustentar"
173,"infidelidade"
174,"cumprir, realizar, conseguir, concretizar"
175,"dever, ter que, obrigação"
176,"enobrecer, nobilitar, nobreza"
212,"filosofia"
213,"repugnar, enojar, antipatia, repulsão"
214,"moralizar, moralismo, moral"
215,"costumes, hábitos"
216,"provérbio, máxima"
217,"honrar, respeitar, honra"
231,"delimitar, limitar"
232,"merecer, ser digno de"
234,"benefício, favor, bênção, beneficência"
235,"esmola"
236,"dar, presentear, presente"
237,"inexplicável"
241,"fama, famoso, notável"
242,"dignidade"
243,"desagradar"
245,"indestrutível, indelével, inapagável"
246,"privilegiar, preferir"
247,"ter direito, direitos"
251,"ceticismo, duvidar de Deus"
252,"errar, se enganar"
253,"heresia"
254,"ateísmo"
256,"materializar"
257,"desencorajar"
261,"misantropia"
262,"contrariar, se opor"
263,"desconfiar, suspeitar"
264,"impossibilidade"
265,"intolerância, inflexibilidade"
267,"arrepender-se, lamentar, lastimar"
271,"maltratar, brutal"
272,"endurecer-se, dureza"
273,"irritar-se, ofender-se, desapontar-se, revoltar-se"
274,"tornar-se"
275,"entristecer-se, tristeza, melancolia"
276,"entediar-se, preocupar-se"
312,"agradar-se, simpatizar, inclinação"
313,"atrair, atração"
314,"preferir, gostar mais de"
315,"Trindade"
316,"reciprocidade, mutual, vice versa"
317,"afeiçoar-se, atrair-se, preferir"
321,"amar-se, concordar(?)"
323,"bem-amado, querido(a)"
324,"ternura, tenro, delicado"
325,"reconhecer, ser grato à, gratidão"
326,"dedicar-se, devotar-se, consagrar-se"
327,"amarrar, ligar, acorrentar, ligação, laço"
341,"aprovação, consentimento, prazer, deleite"
342,"agradar, seduzir, sedução, agradável"
343,"suspirar, dar ais, suspiro"
345,"levantar, erguer, culminante"
346,"desejar, desejo"
347,"incorrigível"
351,"Espírito Santo"
352,"Graça de Deus"
353,"doçura, amenidade, doce, suave, ameno"
354,"benevolência, afabilidade, boa vontade"
356,"igualar, igualdade, igual"
357,"amabilidade, amável"
361,"apreciar, gostar de, estimar, considerar"
362,"confiar em si mesmo, confiança, comunicativo, expansivo"
363,"apaixonar-se, paixão, ardor"
364,"idolatrar, adorar, ser louco por"
365,"amar (as coisas)"
367,"amar, adorar, amor"
371,"fidelidade, fiel"
372,"durar, permanecer, continuar, estabilidade"
373,"noivar, noivado, noivo(a)"
374,"casar-se, desposar-se, casamento, conjugal"
375,"felicidade, feliz"
376,"desfrutar, gozar, embriagar-se, delirar"
412,"desmoralizar, imoralidade, imoral, sem pricípios"
413,"letre, carta, epístola(r)"
414,"datar, data, época, era"
415,"assinar, autografar, assinatura"
416,"vedar, lacrar, selo, lacre"
417,"terminar, concluir, acabar, fim, final"
421,"dirigir-se, endereço"
423,"ser (auxiliar), estar, existir"
424,"ir, móvel"
425,"alongar, estender, prolongar"
426,"correio"
427,"imprecisão, impreciso, inexato"
431,"libertar, isentar, exoneração"
432,"maléfico, nocivo, prejudicial"
434,"selar (carta), selo"
435,"ter (auxiliar)"
436,"carteiro, correio, correspondência"
437,"carregar, levar, trazer, carregador, portátil"
451,"causar, ocasionar, provocar, causa, motivo"
452,"deísmo, teísmo"
453,"malevolência, má vontade, mal intensionado"
454,"agir, proceder, comportar-se, comportamento, maneira de agir"
456,"fazer, cometer, ação, factível"
457,"preparar, dispor, preparação, disponibilidade"
461,"dever (auxiliar), precisar, necessitar"
462,"ser capaz, poder, possibilidade"
463,"meio, recurso, por meio de, expedir, remeter, enviar"
464,"compreender, entender, compreensão, entendimento, entendedor"
465,"desfavorecer, desgraça, desconsideração, desfavorável"
467,"tendência, disposição, aptidão, inclinado, disposto"
471,"diligência"
472,"informar-se, investigar, informação, investigação"
473,"divorciar, repudiar, separar-se, divórcio, repúdio"
474,"querer, desejar, vontade, livre arbítrio"
475,"chorar, lágrima, chorão, choroso, lacrimoso, desolado"
476,"decidir(-se), resolver, decisão, resolução, decisão tomada, determinação"



2536,"continuar"
